	ID	Titel	Autor	Reclam_Balladen	Strophen	Verse	Anthologie	Jahr	Hrsg	Epoche	Autor_clean	Publikationsjahr_Schätzung	Publikationsjahr
0	l00100002	Das gebliebene Lächeln	Liliencron, Detlev von [alt. Liliencron, Detlev Freiherr von; Liliencron, Detlev Frhr. von]	unkown	3	14	Moderner Musen-Almanach auf das Jahr 1893, hrsg. von Otto Julius Bierbaum. München 1893.	1893	Bierbaum, Otto Julius	Moderne	Liliencron, Detlev von	1879	0
1	l00100003	Trennung	Liliencron, Detlev von [alt. Liliencron, Detlev Freiherr von; Liliencron, Detlev Frhr. von]	unkown	6	5	Moderner Musen-Almanach auf das Jahr 1893, hrsg. von Otto Julius Bierbaum. München 1893.	1893	Bierbaum, Otto Julius	Moderne	Liliencron, Detlev von	1879	0
2	l00100004	Waldfahrt	Liliencron, Detlev von [alt. Liliencron, Detlev Freiherr von; Liliencron, Detlev Frhr. von]	unkown	7	11	Moderner Musen-Almanach auf das Jahr 1893, hrsg. von Otto Julius Bierbaum. München 1893.	1893	Bierbaum, Otto Julius	Moderne	Liliencron, Detlev von	1879	0
3	l00100005	Der teutsche Dichter in Abdera	Liliencron, Detlev von [alt. Liliencron, Detlev Freiherr von; Liliencron, Detlev Frhr. von]	unkown	1	8	Moderner Musen-Almanach auf das Jahr 1893, hrsg. von Otto Julius Bierbaum. München 1893.	1893	Bierbaum, Otto Julius	Moderne	Liliencron, Detlev von	1879	0
4	l00100006	Winterbild	Liliencron, Detlev von [alt. Liliencron, Detlev Freiherr von; Liliencron, Detlev Frhr. von]	unkown	1	8	Moderner Musen-Almanach auf das Jahr 1893, hrsg. von Otto Julius Bierbaum. München 1893.	1893	Bierbaum, Otto Julius	Moderne	Liliencron, Detlev von	1879	0
5	l00100007	Je reviendrai	Liliencron, Detlev von [alt. Liliencron, Detlev Freiherr von; Liliencron, Detlev Frhr. von]	unkown	1	8	Moderner Musen-Almanach auf das Jahr 1893, hrsg. von Otto Julius Bierbaum. München 1893.	1893	Bierbaum, Otto Julius	Moderne	Liliencron, Detlev von	1879	0
6	l00100008	„Es zog eine Hochzeit den Berg entlang.“	Liliencron, Detlev von [alt. Liliencron, Detlev Freiherr von; Liliencron, Detlev Frhr. von]	unkown	1	8	Moderner Musen-Almanach auf das Jahr 1893, hrsg. von Otto Julius Bierbaum. München 1893.	1893	Bierbaum, Otto Julius	Moderne	Liliencron, Detlev von	1879	0
7	l00100009	Sommernacht	Liliencron, Detlev von [alt. Liliencron, Detlev Freiherr von; Liliencron, Detlev Frhr. von]	unkown	1	8	Moderner Musen-Almanach auf das Jahr 1893, hrsg. von Otto Julius Bierbaum. München 1893.	1893	Bierbaum, Otto Julius	Moderne	Liliencron, Detlev von	1879	0
8	l0010001	In Freundschaft	Anzengruber, Ludwig	unkown	5	4	Neue Lieder der besten neueren Dichter für's Volk. Zusammengestellt v. Dr. L. Jacobowski. Berlin 1899.	1899	Jacobowski, Ludwig [alt. Jakobowsky, Ludwig]	Moderne	Anzengruber, Ludwig	1874	0
9	l00100010	Richtet nicht, Pharisäer	Liliencron, Detlev von [alt. Liliencron, Detlev Freiherr von; Liliencron, Detlev Frhr. von]	unkown	1	8	Moderner Musen-Almanach auf das Jahr 1893, hrsg. von Otto Julius Bierbaum. München 1893.	1893	Bierbaum, Otto Julius	Moderne	Liliencron, Detlev von	1879	0
